Postcode area,Country
AB,Scotland
AL,England
B,England
BA,England
BB,England
BD,England
BH,England
BL,England
BN,England
BR,England
BS,England
BT,Northern Ireland
CA,England
CB,England
CF,Wales
CH,England
CM,England
CO,England
CR,England
CT,England
CV,England
CW,England
DA,England
DD,Scotland
DE,England
DG,Scotland
DH,England
DL,England
DN,England
DT,England
DY,England
E,England
EC,England
EH,Scotland
EN,England
EX,England
FK,Scotland
FY,England
G,Scotland
GL,England
GU,England
GY,Channel Islands
HA,England
HD,England
HG,England
HP,England
HR,England
HS,Scotland
HU,England
HX,England
IG,England
IM,Isle of Man
IP,England
IV,Scotland
JE,Channel Islands
KA,Scotland
KT,England
KW,Scotland
KY,Scotland
L,England
LA,England
LD,Wales
LE,England
LL,Wales
LN,England
LS,England
LU,England
M,England
ME,England
MK,England
ML,Scotland
N,England
NE,England
NG,England
NN,England
NP,Wales
NR,England
NW,England
OL,England
OX,England
PA,Scotland
PE,England
PH,Scotland
PL,England
PO,England
PR,England
RG,England
RH,England
RM,England
S,England
SA,Wales
SE,England
SG,England
SK,England
SL,England
SM,England
SN,England
SO,England
SP,England
SR,England
SS,England
ST,England
SW,England
SY,England
TA,England
TD,Scotland
TF,England
TN,England
TQ,England
TR,England
TS,England
TW,England
UB,England
W,England
WA,England
WC,England
WD,England
WF,England
WN,England
WR,England
WS,England
WV,England
YO,England
ZE,Scotland
